Midpoint LowerLim UpperLim Count ProbabilityDensity
0.405 0.4 2.57 741 0.000272376
0.415 0.41 2.58 630 0.000231574
0.425 0.42 2.59 550 0.000202168
0.435 0.43 2.6 455 0.000167248
0.445 0.44 2.61 426 0.000156588
0.455 0.45 2.62 371 0.000136372
0.465 0.46 2.63 328 0.000120566
0.475 0.47 2.64 281 0.00010329
0.485 0.48 2.65 282 0.000103657
0.495 0.49 2.66 244 8.96891e-05
0.505 0.5 2.67 246 9.04243e-05
0.515 0.51 2.68 181 6.65317e-05
0.525 0.52 2.69 169 6.21208e-05
0.535 0.53 2.7 168 6.17532e-05
0.545 0.54 2.71 134 4.92555e-05
0.555 0.55 2.72 136 4.99907e-05
0.565 0.56 2.73 101 3.71254e-05
0.575 0.57 2.74 97 3.56551e-05
0.585 0.58 2.75 94 3.45524e-05
0.595 0.59 2.76 92 3.38172e-05
0.605 0.6 2.77 61 2.24223e-05
0.615 0.61 2.78 69 2.53629e-05
0.625 0.62 2.79 70 2.57305e-05
0.635 0.63 2.8 47 1.72762e-05
0.645 0.64 2.81 56 2.05844e-05
0.655 0.65 2.82 39 1.43356e-05
0.665 0.66 2.83 30 1.10274e-05
0.675 0.67 2.84 39 1.43356e-05
0.685 0.68 2.85 26 9.55704e-06
0.695 0.69 2.86 25 9.18946e-06
0.705 0.7 2.87 36 1.32328e-05
0.715 0.71 2.88 29 1.06598e-05
0.725 0.72 2.89 30 1.10274e-05
0.735 0.73 2.9 41 1.50707e-05
0.745 0.74 2.91 22 8.08672e-06
0.755 0.75 2.92 28 1.02922e-05
0.765 0.76 2.93 18 6.61641e-06
0.775 0.77 2.94 16 5.88125e-06
0.785 0.78 2.95 16 5.88125e-06
0.795 0.79 2.96 18 6.61641e-06
0.805 0.8 2.97 14 5.1461e-06
0.815 0.81 2.98 19 6.98399e-06
0.825 0.82 2.99 18 6.61641e-06
0.835 0.83 3 13 4.77852e-06
0.845 0.84 3.01 8 2.94063e-06
0.855 0.85 3.02 17 6.24883e-06
0.865 0.86 3.03 6 2.20547e-06
0.875 0.87 3.04 8 2.94063e-06
0.885 0.88 3.05 16 5.88125e-06
0.895 0.89 3.06 11 4.04336e-06
0.905 0.9 3.07 13 4.77852e-06
0.915 0.91 3.08 7 2.57305e-06
0.925 0.92 3.09 6 2.20547e-06
0.935 0.93 3.1 8 2.94063e-06
0.945 0.94 3.11 4 1.47031e-06
0.955 0.95 3.12 2 7.35157e-07
0.965 0.96 3.13 5 1.83789e-06
0.975 0.97 3.14 5 1.83789e-06
0.985 0.98 3.15 4 1.47031e-06
0.995 0.99 3.16 3 1.10274e-06
1.005 1 3.17 4 1.47031e-06
1.015 1.01 3.18 6 2.20547e-06
1.025 1.02 3.19 3 1.10274e-06
1.035 1.03 3.2 2 7.35157e-07
1.045 1.04 3.21 5 1.83789e-06
1.055 1.05 3.22 3 1.10274e-06
1.065 1.06 3.23 13 4.77852e-06
1.075 1.07 3.24 4 1.47031e-06
1.085 1.08 3.25 0 0
1.095 1.09 3.26 1 3.67578e-07
1.105 1.1 3.27 5 1.83789e-06
1.115 1.11 3.28 1 3.67578e-07
1.125 1.12 3.29 6 2.20547e-06
1.135 1.13 3.3 2 7.35157e-07
1.145 1.14 3.31 2 7.35157e-07
1.155 1.15 3.32 1 3.67578e-07
1.165 1.16 3.33 1 3.67578e-07
1.175 1.17 3.34 7 2.57305e-06
1.185 1.18 3.35 2 7.35157e-07
1.195 1.19 3.36 1 3.67578e-07
1.205 1.2 3.37 2 7.35157e-07
1.215 1.21 3.38 1 3.67578e-07
1.225 1.22 3.39 0 0
1.235 1.23 3.4 2 7.35157e-07
1.245 1.24 3.41 3 1.10274e-06
1.255 1.25 3.42 3 1.10274e-06
1.265 1.26 3.43 0 0
1.275 1.27 3.44 0 0
1.285 1.28 3.45 4 1.47031e-06
1.295 1.29 3.46 1 3.67578e-07
1.305 1.3 3.47 0 0
1.315 1.31 3.48 0 0
1.325 1.32 3.49 1 3.67578e-07
1.335 1.33 3.5 0 0
1.345 1.34 3.51 0 0
1.355 1.35 3.52 0 0
1.365 1.36 3.53 2 7.35157e-07
1.375 1.37 3.54 1 3.67578e-07
1.385 1.38 3.55 1 3.67578e-07
1.395 1.39 3.56 0 0
1.405 1.4 3.57 1 3.67578e-07
1.415 1.41 3.58 1 3.67578e-07
1.425 1.42 3.59 0 0
1.435 1.43 3.6 1 3.67578e-07
1.445 1.44 3.61 0 0
1.455 1.45 3.62 0 0
1.465 1.46 3.63 0 0
1.475 1.47 3.64 2 7.35157e-07
1.485 1.48 3.65 1 3.67578e-07
1.495 1.49 3.66 0 0
1.505 1.5 3.67 0 0
1.515 1.51 3.68 0 0
1.525 1.52 3.69 1 3.67578e-07
1.535 1.53 3.7 0 0
1.545 1.54 3.71 0 0
1.555 1.55 3.72 0 0
1.565 1.56 3.73 0 0
1.575 1.57 3.74 0 0
1.585 1.58 3.75 1 3.67578e-07
1.595 1.59 3.76 0 0
1.605 1.6 3.77 0 0
1.615 1.61 3.78 0 0
1.625 1.62 3.79 0 0
1.635 1.63 3.8 0 0
1.645 1.64 3.81 0 0
1.655 1.65 3.82 0 0
1.665 1.66 3.83 0 0
1.675 1.67 3.84 0 0
1.685 1.68 3.85 0 0
1.695 1.69 3.86 0 0
1.705 1.7 3.87 0 0
1.715 1.71 3.88 1 3.67578e-07
1.725 1.72 3.89 0 0
1.735 1.73 3.9 0 0
1.745 1.74 3.91 0 0
1.755 1.75 3.92 0 0
1.765 1.76 3.93 0 0
1.775 1.77 3.94 0 0
1.785 1.78 3.95 0 0
1.795 1.79 3.96 0 0
1.805 1.8 3.97 0 0
1.815 1.81 3.98 0 0
1.825 1.82 3.99 0 0
1.835 1.83 4 1 3.67578e-07
1.845 1.84 4.01 0 0
1.855 1.85 4.02 0 0
1.865 1.86 4.03 0 0
1.875 1.87 4.04 0 0
1.885 1.88 4.05 0 0
1.895 1.89 4.06 0 0
1.905 1.9 4.07 0 0
1.915 1.91 4.08 0 0
1.925 1.92 4.09 1 3.67578e-07
1.935 1.93 4.1 0 0
1.945 1.94 4.11 0 0
1.955 1.95 4.12 0 0
1.965 1.96 4.13 0 0
1.975 1.97 4.14 0 0
1.985 1.98 4.15 0 0
1.995 1.99 4.16 0 0
2.005 2 4.17 0 0
2.015 2.01 4.18 0 0
2.025 2.02 4.19 0 0
2.035 2.03 4.2 0 0
2.045 2.04 4.21 0 0
2.055 2.05 4.22 0 0
2.065 2.06 4.23 0 0
2.075 2.07 4.24 0 0
2.085 2.08 4.25 0 0
2.095 2.09 4.26 0 0
2.105 2.1 4.27 0 0
2.115 2.11 4.28 0 0
2.125 2.12 4.29 0 0
2.135 2.13 4.3 1 3.67578e-07
2.145 2.14 4.31 0 0
